
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   7844 Services                   0     12,232 K Unknown         N/A                                                     0:00:15 N/A                                                                     
AggregatorHost.exe            3204 Services                   0      5,452 K Unknown         N/A                                                     0:00:00 N/A                                                                     
sihost.exe                    1928 Console                    1     21,940 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:07 N/A                                                                     
svchost.exe                   5232 Console                    1      1,188 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                    676 Console                    1      7,624 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:01 N/A                                                                     
igfxEM.exe                    3020 Console                    1      3,136 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:01 The Event Manager Dashboard                                             
svchost.exe                   8180 Console                    1        968 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                   1504 Console                    1     22,004 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:02 Windows Push Notifications Platform                                     
taskhostw.exe                 8280 Console                    1      6,784 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 Task Host Window                                                        
svchost.exe                   8388 Services                   0     17,200 K Unknown         N/A                                                     0:00:05 N/A                                                                     
svchost.exe                   9008 Services                   0     10,956 K Unknown         N/A                                                     0:00:00 N/A                                                                     
explorer.exe                  9060 Console                    1   2,56,000 K Running         DESKTOP-2E1Q7E2\fenil                                   0:01:28 N/A                                                                     
svchost.exe                   4928 Services                   0      3,848 K Unknown         N/A                                                     0:00:00 N/A                                                                     
CrossDeviceResume.exe         8408 Console                    1      4,152 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 CrossDeviceResumeWindow                                                 
svchost.exe                   9248 Services                   0      2,264 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   9592 Console                    1     12,780 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                   9820 Services                   0      2,680 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   9880 Services                   0      3,344 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SearchHost.exe                9612 Console                    1     73,032 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:08 Search                                                                  
StartMenuExperienceHost.e     9812 Console                    1     27,532 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 Start                                                                   
Widgets.exe                   9952 Console                    1     37,556 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
svchost.exe                  10184 Console                    1      6,420 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
RuntimeBroker.exe            10140 Console                    1     33,712 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:03 N/A                                                                     
RuntimeBroker.exe            10176 Console                    1      5,712 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 OLEChannelWnd                                                           
WidgetService.exe            10340 Console                    1      2,700 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedgewebview2.exe           11020 Console                    1     52,084 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
msedgewebview2.exe            9220 Console                    1      1,140 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedgewebview2.exe           10096 Console                    1     21,196 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:01 OLEChannelWnd                                                           
msedgewebview2.exe           11228 Console                    1     34,788 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
msedgewebview2.exe           10576 Console                    1      5,380 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedgewebview2.exe           11552 Console                    1     55,016 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:08 N/A                                                                     
ctfmon.exe                   12092 Console                    1     15,280 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:10 N/A                                                                     
ArmouryCrateKeyControl.ex    12284 Console                    1      4,496 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                  12160 Services                   0     13,072 K Unknown         N/A                                                     0:00:01 N/A                                                                     
SearchIndexer.exe             1788 Services                   0     19,140 K Unknown         N/A                                                     0:00:05 N/A                                                                     
RiotClientServices.exe       10400 Console                    1   1,72,528 K Running         DESKTOP-2E1Q7E2\fenil                                   0:01:22 BackgroundModeTrayIconClass                                             
svchost.exe                   2596 Services                   0     24,156 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                  12432 Services                   0      1,136 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  12504 Services                   0      1,616 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  12516 Services                   0      1,024 K Unknown         N/A                                                     0:00:00 N/A                                                                     
dasHost.exe                  12620 Services                   0         36 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  12956 Services                   0      1,560 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RiotClientCrashHandler.ex    12776 Console                    1        728 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
NisSrv.exe                   13268 Services                   0      4,956 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SecurityHealthSystray.exe    14204 Console                    1        516 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
SecurityHealthService.exe    14224 Services                   0      5,300 K Unknown         N/A                                                     0:00:00 N/A                                                                     
vgtray.exe                   13148 Console                    1      4,772 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:06 N/A                                                                     
RtkAudUService64.exe          7316 Console                    1      1,468 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:01 RealtekAudioBackgroundProcessClass                                      
svchost.exe                  13536 Services                   0      5,760 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   8988 Services                   0      8,584 K Unknown         N/A                                                     0:00:03 N/A                                                                     
AsusOSD.exe                  14096 Console                    1      1,024 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 ATKOSD2                                                                 
svchost.exe                  14152 Services                   0      3,708 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  12136 Services                   0      3,744 K Unknown         N/A                                                     0:00:00 N/A                                                                     
EdgeGameAssist.exe            4400 Console                    1     39,604 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:12 Game Assist                                                             
XboxPcAppFT.exe               8116 Console                    1      6,456 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
msedge.exe                    3464 Console                    1     57,908 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:09 N/A                                                                     
msedge.exe                   10208 Console                    1        904 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedge.exe                   13332 Console                    1      7,772 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedge.exe                   11836 Console                    1     19,992 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:02 OLEChannelWnd                                                           
msedge.exe                   12364 Console                    1      3,228 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
unsecapp.exe                 10376 Services                   0      3,048 K Unknown         N/A                                                     0:00:00 N/A                                                                     
AsusSystemAnalysis.exe       15220 Console                    1        220 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                  15020 Services                   0      3,712 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   6172 Console                    1     15,044 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
svchost.exe                  15248 Services                   0      5,812 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  15396 Services                   0      3,168 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  15472 Services                   0      2,956 K Unknown         N/A                                                     0:00:00 N/A                                                                     
msedgewebview2.exe           16180 Console                    1      9,580 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:04 N/A                                                                     
msedgewebview2.exe           16208 Console                    1        916 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedgewebview2.exe           16376 Console                    1      3,152 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:05 N/A                                                                     
msedgewebview2.exe           15364 Console                    1      4,696 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:02 OleMainThreadWndName                                                    
msedgewebview2.exe            5960 Console                    1         28 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedgewebview2.exe            3192 Console                    1        580 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:14 N/A                                                                     
SystemSettings.exe           16004 Console                    1      1,076 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:03 Settings                                                                
ApplicationFrameHost.exe     16088 Console                    1      5,700 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 Settings                                                                
svchost.exe                   6976 Console                    1      1,164 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
UserOOBEBroker.exe            8464 Console                    1         80 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedge.exe                   10836 Console                    1      4,368 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:00 OleMainThreadWndName                                                    
RuntimeBroker.exe             9332 Console                    1      2,332 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
AsusSoftwareManagerAgent.    13992 Console                    1      9,248 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:02 N/A                                                                     
AppActions.exe                3688 Console                    1      4,172 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                  14864 Services                   0      7,412 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1888 Services                   0      2,260 K Unknown         N/A                                                     0:00:00 N/A                                                                     
backgroundTaskHost.exe       15976 Console                    1        232 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                   8344 Console                    1      9,836 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:02 N/A                                                                     
backgroundTaskHost.exe        2492 Console                    1        508 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedgewebview2.exe            6848 Console                    1      1,656 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedge.exe                    6716 Console                    1      8,380 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedge.exe                   14048 Console                    1      6,904 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
msedge.exe                    5436 Console                    1      4,632 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
svchost.exe                  14104 Services                   0        688 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                  12728 Services                   0        996 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   3892 Services                   0      1,732 K Unknown         N/A                                                     0:00:00 N/A                                                                     
ShellHost.exe                 4664 Console                    1     10,848 K Running         DESKTOP-2E1Q7E2\fenil                                   0:00:07 Quick Settings                                                          
backgroundTaskHost.exe        6104 Console                    1     10,608 K Unknown         DESKTOP-2E1Q7E2\fenil                                   0:00:00 N/A                                                                     
